Salary,NG
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
21280,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
27450,0
53215,0
0,0
0,0
0,0
82295,0
0,0
66122,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
37145,0
0,0
0,0
0,0
39442,0
0,0
0,0
0,0
0,0
7663,0
0,0
1593,0
6694,0
0,0
0,0
0,0
0,0
0,0
0,0
11619,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
526,1
0,0
0,0
0,0
0,0
0,0
0,0
56021,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
17443,0
0,0
0,0
0,0
0,0
5210,0
0,0
27538,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
13721,1
0,0
0,0
0,0
0,0
0,0
108839,0
0,0
0,0
526,0
0,0
0,0
0,0
0,0
0,0
0,0
86196,1
0,0
0,0
0,0
0,1
0,0
26239,0
0,0
0,0
0,0
6818,0
58777,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
16298,0
0,0
0,0
49541,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1483,0
0,0
0,0
0,0
18921,0
0,0
0,0
0,0
32185,0
0,0
0,0
0,0
48979,0
0,0
0,0
0,0
0,0
25455,0
0,0
0,0
8448,0
0,0
0,0
0,0
0,0
1364,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
38211,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
14062,0
0,0
0,0
0,0
0,0
0,1
6953,0
0,0
0,0
82795,0
0,0
0,0
0,0
0,0
96639,0
0,0
0,0
0,0
0,0
0,0
1374,0
0,0
66352,0
0,0
0,0
18549,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
120281,0
0,0
0,0
52039,0
0,0
0,0
0,0
0,0
0,0
16275,0
0,0
0,0
19272,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
34844,0
0,0
0,0
14863,0
0,0
0,0
0,0
0,0
0,0
0,0
36516,0
0,0
0,0
0,0
13819,0
0,0
14004,0
0,0
0,0
0,0
0,0
526,0
0,0
0,0
0,0
0,0
136662,0
0,0
0,0
0,0
0,0
0,0
79600,0
7185,0
