Occupation	Occupation1	Gender	nIndividuals	AvgTaxableIncome	MedianTaxableIncome
		Female	1300496	33715	17937
		Male	1434352	42583	23198
		Total	2734848	38366	20434
1100 Chief Executives, General Managers and Legislators - type not specified	110000 Director - type not specified; Manager - type not specified	Female	678	63867	53680
1100 Chief Executives, General Managers and Legislators - type not specified	110000 Director - type not specified; Manager - type not specified	Male	1239	89022	66751
1100 Chief Executives, General Managers and Legislators - type not specified	110000 Director - type not specified; Manager - type not specified	Total	1917	80125	61533
1111 Chief Executives and Managing Directors	111100 Executive - type not specified	Female	122	84737	73350
1111 Chief Executives and Managing Directors	111100 Executive - type not specified	Male	146	162837	121550
1111 Chief Executives and Managing Directors	111100 Executive - type not specified	Total	268	127284	92158
1111 Chief Executives and Managing Directors	111111 Chief executive officer; Director - executive; Director - managing; Executive - chief executive officer; Executive director; Managing director; Public servant - federal or state/territory - head or deputy head of government department, body or agency	Female	45742	110881	59651
1111 Chief Executives and Managing Directors	111111 Chief executive officer; Director - executive; Director - managing; Executive - chief executive officer; Executive director; Managing director; Public servant - federal or state/territory - head or deputy head of government department, body or agency	Male	120731	176265	77746
1111 Chief Executives and Managing Directors	111111 Chief executive officer; Director - executive; Director - managing; Executive - chief executive officer; Executive director; Managing director; Public servant - federal or state/territory - head or deputy head of government department, body or agency	Total	166473	158299	73113
1112 General Managers	111200 Company director - type not specified	Female	68	56620	37681
1112 General Managers	111200 Company director - type not specified	Male	198	72479	41594
1112 General Managers	111200 Company director - type not specified	Total	266	68425	39899
1112 General Managers	111211 Corporate general manager; General manager - corporate; Manager - corporate general; Manager - general; Trade union secretary; Union secretary	Female	75698	83838	61158
1112 General Managers	111211 Corporate general manager; General manager - corporate; Manager - corporate general; Manager - general; Trade union secretary; Union secretary	Male	142772	125848	85865
1112 General Managers	111211 Corporate general manager; General manager - corporate; Manager - corporate general; Manager - general; Trade union secretary; Union secretary	Total	218470	111292	77170
