"Occupation","Gender","TaxBracket","variable","value","unit"
NA,"Female","a. $18,200 or less","Number of individuals",657682,NA
NA,"Female","b. $18,201 to $37,000","Number of individuals",347218,NA
NA,"Female","c. $37,001 to $80,000","Number of individuals",186780,NA
NA,"Female","d. $80,001 to $180,000","Number of individuals",80023,NA
NA,"Female","e. $180,000 or more","Number of individuals",28793,NA
NA,"Male","a. $18,200 or less","Number of individuals",568446,NA
NA,"Male","b. $18,201 to $37,000","Number of individuals",391766,NA
NA,"Male","c. $37,001 to $80,000","Number of individuals",317238,NA
NA,"Male","d. $80,001 to $180,000","Number of individuals",114460,NA
NA,"Male","e. $180,000 or more","Number of individuals",42442,NA
"1100 Chief Executives, General Managers and Legislators - type not specified","Female","a. $18,200 or less","Number of individuals",76,NA
"1100 Chief Executives, General Managers and Legislators - type not specified","Female","b. $18,201 to $37,000","Number of individuals",125,NA
"1100 Chief Executives, General Managers and Legislators - type not specified","Female","c. $37,001 to $80,000","Number of individuals",299,NA
"1100 Chief Executives, General Managers and Legislators - type not specified","Female","d. $80,001 to $180,000","Number of individuals",161,NA
"1100 Chief Executives, General Managers and Legislators - type not specified","Female","e. $180,000 or more","Number of individuals",17,NA
"1100 Chief Executives, General Managers and Legislators - type not specified","Male","a. $18,200 or less","Number of individuals",110,NA
"1100 Chief Executives, General Managers and Legislators - type not specified","Male","b. $18,201 to $37,000","Number of individuals",178,NA
"1100 Chief Executives, General Managers and Legislators - type not specified","Male","c. $37,001 to $80,000","Number of individuals",464,NA
"1100 Chief Executives, General Managers and Legislators - type not specified","Male","d. $80,001 to $180,000","Number of individuals",388,NA
"1100 Chief Executives, General Managers and Legislators - type not specified","Male","e. $180,000 or more","Number of individuals",99,NA
"1111 Chief Executives and Managing Directors","Female","a. $18,200 or less","Number of individuals",4536,NA
"1111 Chief Executives and Managing Directors","Female","b. $18,201 to $37,000","Number of individuals",10436,NA
"1111 Chief Executives and Managing Directors","Female","c. $37,001 to $80,000","Number of individuals",13842,NA
"1111 Chief Executives and Managing Directors","Female","d. $80,001 to $180,000","Number of individuals",11668,NA
"1111 Chief Executives and Managing Directors","Female","e. $180,000 or more","Number of individuals",5382,NA
"1111 Chief Executives and Managing Directors","Male","a. $18,200 or less","Number of individuals",7986,NA
"1111 Chief Executives and Managing Directors","Male","b. $18,201 to $37,000","Number of individuals",21753,NA
"1111 Chief Executives and Managing Directors","Male","c. $37,001 to $80,000","Number of individuals",33673,NA
"1111 Chief Executives and Managing Directors","Male","d. $80,001 to $180,000","Number of individuals",33556,NA
"1111 Chief Executives and Managing Directors","Male","e. $180,000 or more","Number of individuals",23909,NA
"1112 General Managers","Female","a. $18,200 or less","Number of individuals",4591,NA
"1112 General Managers","Female","b. $18,201 to $37,000","Number of individuals",12615,NA
"1112 General Managers","Female","c. $37,001 to $80,000","Number of individuals",32983,NA
"1112 General Managers","Female","d. $80,001 to $180,000","Number of individuals",21545,NA
"1112 General Managers","Female","e. $180,000 or more","Number of individuals",5092,NA
"1112 General Managers","Male","a. $18,200 or less","Number of individuals",5539,NA
"1112 General Managers","Male","b. $18,201 to $37,000","Number of individuals",14329,NA
"1112 General Managers","Male","c. $37,001 to $80,000","Number of individuals",47269,NA
"1112 General Managers","Male","d. $80,001 to $180,000","Number of individuals",59332,NA
"1112 General Managers","Male","e. $180,000 or more","Number of individuals",22904,NA
"1113 Legislators","Female","a. $18,200 or less","Number of individuals",155,NA
"1113 Legislators","Female","b. $18,201 to $37,000","Number of individuals",403,NA
"1113 Legislators","Female","c. $37,001 to $80,000","Number of individuals",744,NA
"1113 Legislators","Female","d. $80,001 to $180,000","Number of individuals",392,NA
"1113 Legislators","Female","e. $180,000 or more","Number of individuals",147,NA
"1113 Legislators","Male","a. $18,200 or less","Number of individuals",167,NA
"1113 Legislators","Male","b. $18,201 to $37,000","Number of individuals",375,NA
"1113 Legislators","Male","c. $37,001 to $80,000","Number of individuals",698,NA
"1113 Legislators","Male","d. $80,001 to $180,000","Number of individuals",618,NA
"1113 Legislators","Male","e. $180,000 or more","Number of individuals",370,NA
"1210 Farmers and farm managers - type not specified","Female","All","Number of individuals",94,NA
"1210 Farmers and farm managers - type not specified","Male","a. $18,200 or less","Number of individuals",103,NA
"1210 Farmers and farm managers - type not specified","Male","b. $18,201 to $37,000","Number of individuals",41,NA
"1210 Farmers and farm managers - type not specified","Male","c. $37,001 to $80,000","Number of individuals",66,NA
"1210 Farmers and farm managers - type not specified","Male","d. $80,001 to $180,000","Number of individuals",15,NA
"1211 Aquaculture Farmers","Female","All","Number of individuals",298,NA
"1211 Aquaculture Farmers","Male","a. $18,200 or less","Number of individuals",177,NA
"1211 Aquaculture Farmers","Male","b. $18,201 to $37,000","Number of individuals",368,NA
"1211 Aquaculture Farmers","Male","c. $37,001 to $80,000","Number of individuals",756,NA
"1211 Aquaculture Farmers","Male","d. $80,001 to $180,000","Number of individuals",202,NA
"1211 Aquaculture Farmers","Male","e. $180,000 or more","Number of individuals",15,NA
"1212 Crop Farmers","Female","a. $18,200 or less","Number of individuals",633,NA
"1212 Crop Farmers","Female","b. $18,201 to $37,000","Number of individuals",722,NA
"1212 Crop Farmers","Female","c. $37,001 to $80,000","Number of individuals",612,NA
"1212 Crop Farmers","Female","d. $80,001 to $180,000","Number of individuals",230,NA
"1212 Crop Farmers","Female","e. $180,000 or more","Number of individuals",53,NA
"1212 Crop Farmers","Male","a. $18,200 or less","Number of individuals",1127,NA
"1212 Crop Farmers","Male","b. $18,201 to $37,000","Number of individuals",1706,NA
"1212 Crop Farmers","Male","c. $37,001 to $80,000","Number of individuals",3914,NA
"1212 Crop Farmers","Male","d. $80,001 to $180,000","Number of individuals",1345,NA
"1212 Crop Farmers","Male","e. $180,000 or more","Number of individuals",189,NA
"1213 Livestock Farmers","Female","a. $18,200 or less","Number of individuals",472,NA
"1213 Livestock Farmers","Female","b. $18,201 to $37,000","Number of individuals",745,NA
"1213 Livestock Farmers","Female","c. $37,001 to $80,000","Number of individuals",890,NA
"1213 Livestock Farmers","Female","d. $80,001 to $180,000","Number of individuals",172,NA
"1213 Livestock Farmers","Female","e. $180,000 or more","Number of individuals",39,NA
"1213 Livestock Farmers","Male","a. $18,200 or less","Number of individuals",930,NA
"1213 Livestock Farmers","Male","b. $18,201 to $37,000","Number of individuals",1938,NA
"1213 Livestock Farmers","Male","c. $37,001 to $80,000","Number of individuals",5120,NA
"1213 Livestock Farmers","Male","d. $80,001 to $180,000","Number of individuals",1112,NA
"1213 Livestock Farmers","Male","e. $180,000 or more","Number of individuals",140,NA
"1214 Mixed Crop and Livestock Farmers","Female","a. $18,200 or less","Number of individuals",107,NA
"1214 Mixed Crop and Livestock Farmers","Female","b. $18,201 to $37,000","Number of individuals",161,NA
"1214 Mixed Crop and Livestock Farmers","Female","c. $37,001 to $80,000","Number of individuals",186,NA
"1214 Mixed Crop and Livestock Farmers","Female","d. $80,001 to $180,000","Number of individuals",75,NA
"1214 Mixed Crop and Livestock Farmers","Female","e. $180,000 or more","Number of individuals",22,NA
"1214 Mixed Crop and Livestock Farmers","Male","a. $18,200 or less","Number of individuals",298,NA
"1214 Mixed Crop and Livestock Farmers","Male","b. $18,201 to $37,000","Number of individuals",523,NA
"1214 Mixed Crop and Livestock Farmers","Male","c. $37,001 to $80,000","Number of individuals",1369,NA
"1214 Mixed Crop and Livestock Farmers","Male","d. $80,001 to $180,000","Number of individuals",493,NA
"1214 Mixed Crop and Livestock Farmers","Male","e. $180,000 or more","Number of individuals",67,NA
"1311 Advertising and Sales Managers","Female","a. $18,200 or less","Number of individuals",3884,NA
"1311 Advertising and Sales Managers","Female","b. $18,201 to $37,000","Number of individuals",9442,NA
"1311 Advertising and Sales Managers","Female","c. $37,001 to $80,000","Number of individuals",30483,NA
"1311 Advertising and Sales Managers","Female","d. $80,001 to $180,000","Number of individuals",21442,NA
"1311 Advertising and Sales Managers","Female","e. $180,000 or more","Number of individuals",3723,NA
"1311 Advertising and Sales Managers","Male","a. $18,200 or less","Number of individuals",2902,NA
"1311 Advertising and Sales Managers","Male","b. $18,201 to $37,000","Number of individuals",7450,NA
"1311 Advertising and Sales Managers","Male","c. $37,001 to $80,000","Number of individuals",34286,NA
"1311 Advertising and Sales Managers","Male","d. $80,001 to $180,000","Number of individuals",43987,NA
"1311 Advertising and Sales Managers","Male","e. $180,000 or more","Number of individuals",12269,NA
"1321 Corporate Services Managers","Female","a. $18,200 or less","Number of individuals",140,NA
"1321 Corporate Services Managers","Female","b. $18,201 to $37,000","Number of individuals",369,NA
"1321 Corporate Services Managers","Female","c. $37,001 to $80,000","Number of individuals",1831,NA
"1321 Corporate Services Managers","Female","d. $80,001 to $180,000","Number of individuals",2053,NA
"1321 Corporate Services Managers","Female","e. $180,000 or more","Number of individuals",354,NA
"1321 Corporate Services Managers","Male","a. $18,200 or less","Number of individuals",114,NA
"1321 Corporate Services Managers","Male","b. $18,201 to $37,000","Number of individuals",229,NA
"1321 Corporate Services Managers","Male","c. $37,001 to $80,000","Number of individuals",1323,NA
"1321 Corporate Services Managers","Male","d. $80,001 to $180,000","Number of individuals",2755,NA
"1321 Corporate Services Managers","Male","e. $180,000 or more","Number of individuals",903,NA
"1322 Finance Managers","Female","a. $18,200 or less","Number of individuals",1241,NA
"1322 Finance Managers","Female","b. $18,201 to $37,000","Number of individuals",2836,NA
"1322 Finance Managers","Female","c. $37,001 to $80,000","Number of individuals",9523,NA
"1322 Finance Managers","Female","d. $80,001 to $180,000","Number of individuals",7873,NA
"1322 Finance Managers","Female","e. $180,000 or more","Number of individuals",1524,NA
"1322 Finance Managers","Male","a. $18,200 or less","Number of individuals",504,NA
"1322 Finance Managers","Male","b. $18,201 to $37,000","Number of individuals",985,NA
"1322 Finance Managers","Male","c. $37,001 to $80,000","Number of individuals",4284,NA
"1322 Finance Managers","Male","d. $80,001 to $180,000","Number of individuals",10435,NA
"1322 Finance Managers","Male","e. $180,000 or more","Number of individuals",5294,NA
"1323 Human Resource Managers","Female","a. $18,200 or less","Number of individuals",505,NA
"1323 Human Resource Managers","Female","b. $18,201 to $37,000","Number of individuals",1204,NA
"1323 Human Resource Managers","Female","c. $37,001 to $80,000","Number of individuals",5605,NA
"1323 Human Resource Managers","Female","d. $80,001 to $180,000","Number of individuals",8258,NA
"1323 Human Resource Managers","Female","e. $180,000 or more","Number of individuals",1872,NA
"1323 Human Resource Managers","Male","a. $18,200 or less","Number of individuals",135,NA
"1323 Human Resource Managers","Male","b. $18,201 to $37,000","Number of individuals",281,NA
"1323 Human Resource Managers","Male","c. $37,001 to $80,000","Number of individuals",1505,NA
"1323 Human Resource Managers","Male","d. $80,001 to $180,000","Number of individuals",3619,NA
"1323 Human Resource Managers","Male","e. $180,000 or more","Number of individuals",1230,NA
"1324 Policy and Planning Managers","Female","a. $18,200 or less","Number of individuals",288,NA
"1324 Policy and Planning Managers","Female","b. $18,201 to $37,000","Number of individuals",689,NA
"1324 Policy and Planning Managers","Female","c. $37,001 to $80,000","Number of individuals",5677,NA
"1324 Policy and Planning Managers","Female","d. $80,001 to $180,000","Number of individuals",12768,NA
"1324 Policy and Planning Managers","Female","e. $180,000 or more","Number of individuals",1248,NA
"1324 Policy and Planning Managers","Male","a. $18,200 or less","Number of individuals",171,NA
"1324 Policy and Planning Managers","Male","b. $18,201 to $37,000","Number of individuals",313,NA
"1324 Policy and Planning Managers","Male","c. $37,001 to $80,000","Number of individuals",2702,NA
"1324 Policy and Planning Managers","Male","d. $80,001 to $180,000","Number of individuals",13584,NA
"1324 Policy and Planning Managers","Male","e. $180,000 or more","Number of individuals",2164,NA
"1325 Research and Development Managers","Female","a. $18,200 or less","Number of individuals",479,NA
"1325 Research and Development Managers","Female","b. $18,201 to $37,000","Number of individuals",724,NA
"1325 Research and Development Managers","Female","c. $37,001 to $80,000","Number of individuals",2338,NA
"1325 Research and Development Managers","Female","d. $80,001 to $180,000","Number of individuals",2254,NA
