"Date"	"SeriesID"	"value"	"Description"	"Adjustment"
1975-10-01	"A2413051X"	87223000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1975-11-01	"A2413051X"	83700000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1975-12-01	"A2413051X"	75740000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-01-01	"A2413051X"	64722000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-02-01	"A2413051X"	70458000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-03-01	"A2413051X"	85936000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-04-01	"A2413051X"	69159000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-05-01	"A2413051X"	82583000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-06-01	"A2413051X"	79312000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-07-01	"A2413051X"	74851000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-08-01	"A2413051X"	83240000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-09-01	"A2413051X"	89570000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-10-01	"A2413051X"	82308000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-11-01	"A2413051X"	85208000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1976-12-01	"A2413051X"	78222000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1977-01-01	"A2413051X"	61685000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1977-02-01	"A2413051X"	68755000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1977-03-01	"A2413051X"	81201000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
