"noprntn"	"nhweqini"	"nhhwth"
NA	0	15292514.1653528
NA	1	3043.84251323112
NA	4	12158.9202223678
NA	6	1967.54058087492
NA	9	1986.6361141507
NA	10	1400.08832871825
NA	11	794.763954940822
NA	13	2620.57397333597
NA	14	4533.51186136907
NA	16	4552.49740136975
NA	19	1482.89067796881
NA	20	3152.30701549885
NA	21	3222.11917143842
NA	23	821.699571196319
NA	27	2811.0421817197
NA	30	3963.55981696754
NA	31	6175.57957646184
NA	35	711.539690518039
NA	41	3904.42543203436
NA	43	0
NA	50	7212.00443401984
NA	52	2194.14214303469
NA	55	1286.99311822357
NA	58	1793.79364775653
NA	60	1212.50052987149
NA	65	3415.33383550199
NA	67	866.47948156328
NA	70	1151.10169056277
NA	72	1705.71295990727
NA	79	1254.08318482961
NA	80	2173.60895400277
NA	99	5738.26697526605
NA	100	35987.1839833387
NA	110	1608.05320457901
NA	112	661.39730097088
NA	117	1759.97236205941
NA	120	3533.78049329761
NA	140	3218.78567024777
NA	150	3459.80713116655
NA	160	4917.89241883052
NA	182	849.631617743551
NA	200	49421.7582444789
NA	201	5583.6840197276
NA	203	1324.91807909488
NA	205	2982.91170728863
NA	214	851.752442628496
NA	231	3841.7362505899
NA	248	2376.92928384225
NA	250	4265.41376559766
NA	280	1349.45008432731
NA	295	2111.17209786194
NA	300	43909.2206735442
NA	302	1911.56754390754
NA	334	1520.71622271497
NA	350	719.385722237179
NA	360	697.297630069328
NA	380	5780.31783066433
NA	400	33705.8433244203
NA	412	3698.42388082879
NA	420	1042.03764932542
NA	450	685.158489143227
NA	463	1482.22811534221
NA	500	71678.6412579677
NA	501	2827.60528293015
NA	506	3578.39363063183
NA	550	399.000216786745
NA	560	1323.69201463202
NA	566	5063.34261352926
NA	584	1098.1703168779
NA	600	36233.3676622272
NA	645	1052.03130901768
NA	650	1770.44662403498
NA	700	22041.7118117717
NA	748	1366.06355445112
NA	750	1376.95813099995
NA	800	20465.2031519804
NA	812	6001.30269941318
NA	850	22335.6917161979
NA	851	487.716065312523
NA	900	19878.5830919891
NA	1000	192423.212017898
NA	1040	1401.79239516206
NA	1068	1001.6700839928
NA	1100	5345.83863256685
NA	1148	3644.10348569992
NA	1200	24110.9184427563
NA	1224	1684.41598705596
NA	1250	3581.97471676754
NA	1300	1675.49262544052
NA	1318	786.350142412985
NA	1429	544.502226288462
NA	1482	4748.65782566804
NA	1500	71614.9862307955
NA	1505	712.613757590082
NA	1550	2310.39457097195
NA	1600	10195.4737772082
NA	1670	5422.78042171299
NA	1700	8332.54177637086
NA	1710	1506.10011994533
NA	1750	6238.86820581904
NA	1780	948.91835673672
NA	1800	12293.9541058382
NA	1812	819.732857410913
NA	1876	1899.58916856681
NA	1939	1821.7520867774
NA	2000	223774.692716183
NA	2010	7671.99359393235
NA	2025	668.83667664581
NA	2132	1010.89159707791
NA	2160	3088.22490837561
NA	2200	585.786660551309
NA	2237	6232.15509787756
NA	2250	1739.50653773411
NA	2300	1297.64847796975
NA	2320	1812.1522507761
NA	2400	4639.97902072653
NA	2411	3472.80359619521
NA	2500	64833.6736042326
NA	2646	3390.8361874011
NA	2700	3642.84646594975
NA	2800	2793.71730221789
NA	2986	1375.98754976022
NA	3000	160324.868062412
NA	3052	9871.98719586542
NA	3084	2090.39285950945
NA	3102	559.011645664476
NA	3200	7428.86420578717
NA	3205	645.511970705919
NA	3270	555.205478655299
NA	3333	750.23836018366
NA	3400	1969.36868888511
NA	3440	865.756055847712
NA	3465	6132.03891886512
NA	3500	49562.2256803143
NA	3565	1547.88343636565
NA	3600	3503.3658745857
NA	3700	4982.11843696274
NA	3750	6715.11369680212
NA	3761	1405.30619012853
NA	3800	7785.81522640717
NA	3900	776.560882960503
NA	3990	604.686690957391
NA	4000	120112.21024481
NA	4003	972.927128089953
NA	4080	8657.32389995569
NA	4122	1560.70932519467
NA	4125	3894.54294044173
NA	4200	1568.84963176778
NA	4300	2063.5127081151
NA	4406	4244.74810521397
NA	4500	17357.5940576007
NA	4620	2500.03494136225
NA	4800	1985.35034400492
NA	4933	1543.6898884892
NA	5000	355529.762181521
NA	5002	1454.29366435501
NA	5013	1075.29766072752
NA	5061	2262.83385622481
NA	5234	2379.97256940066
NA	5300	2387.6483997438
NA	5400	2465.56569239413
NA	5444	588.418417011524
NA	5500	30967.2307859988
NA	5556	837.833144878299
NA	5577	6980.4691724822
NA	5600	655.753284512672
NA	5769	467.529811947916
NA	5800	776.621074695575
NA	5807	1212.03744446591
NA	6000	121006.328314315
NA	6037	8279.3926653564
NA	6095	2653.86198088695
NA	6101	608.982913513155
NA	6150	607.238055375685
NA	6400	957.36614916843
NA	6500	43692.8672609665
NA	6600	837.197313891613
NA	6734	329.509197771394
NA	6829	926.751639367245
NA	7000	50068.1238670788
NA	7024	678.93087533033
NA	7087	623.66963014504
NA	7200	7744.87552129172
NA	7409	16367.1574030488
NA	7500	19595.5451661122
NA	7700	13496.7253159837
NA	7800	4201.69089623625
NA	8000	75148.6468614564
NA	8100	2106.74306086941
NA	8200	3108.52908886695
NA	8211	4439.15032017198
NA	8400	387.063943928448
NA	8500	11743.9681208096
NA	8510	1918.65635669271
NA	8600	1865.81392314764
NA	8800	2172.33170100976
NA	9000	21937.0439994647
NA	9100	591.736656027739
NA	9500	4588.04993762192
NA	9507	593.646981667173
NA	9613	2161.72299456622
NA	9765	645.814031862942
NA	9919	1003.02919586417
NA	9947	1842.85159082268
NA	10000	269449.361548215
NA	10342	2575.4902181992
NA	10482	4630.2154108959
NA	10545	1765.13334829833
NA	10812	1753.53296842666
NA	11000	39171.3907042059
NA	11205	765.137224095278
NA	11279	475.927470764296
NA	11490	1690.40500567413
NA	11500	5214.06841693025
NA	11799	758.192876628593
NA	12000	64384.1706339931
NA	12133	2425.81597115727
NA	12170	725.799630711879
NA	12450	11415.1895317921
NA	12500	13767.4821879091
NA	12515	3138.81508713123
NA	12918	1359.66052970493
NA	13000	23501.1896995665
NA	13053	3449.88705490488
NA	13225	855.605790207715
NA	13500	7342.48749456294
NA	14000	17843.3245815727
NA	14600	1534.19338342153
NA	15000	143164.925842761
NA	15200	1940.7407474247
NA	15500	3181.10596261487
NA	15845	4555.02005988855
NA	16000	17754.7325014345
NA	16636	2543.96007424903
NA	17000	24849.9148030879
NA	17004	839.336454888511
NA	17154	5150.62161480338
NA	17500	6759.44369615734
NA	18000	21960.1207945785
NA	18200	850.264525110365
NA	19000	6110.67761301416
NA	19500	1280.65297964698
NA	19587	6567.98935092528
NA	20000	212004.483750688
NA	20204	723.575981309273
NA	21000	4495.86618366376
NA	21500	3808.46679018305
NA	22000	10225.7720187529
NA	22330	1015.73985254392
NA	23000	14038.6399214528
NA	24000	14096.1381610918
NA	24300	856.486376211788
NA	24336	0
NA	25000	97514.073755507
NA	25100	4444.36314634748
NA	25377	2609.94685959531
NA	25480	2743.51106217866
NA	25500	1553.33277805093
NA	26000	30087.416158344
NA	26133	2173.43837058159
NA	26500	1597.04936211634
NA	27000	12278.2219163986
NA	27222	265.296743968084
NA	27691	2709.16183651116
NA	28000	10474.4388748442
NA	28500	1675.58567662053
NA	29000	3666.28491707765
NA	29411	4306.58030498963
NA	30000	187621.077769709
NA	31376	3358.41150194118
NA	31425	779.575459298869
NA	32000	7258.09155001695
NA	32936	503.606415831026
NA	33000	11393.2160719564
NA	34000	7018.75422890563
NA	34254	3461.19994852718
NA	34540	793.377593280563
NA	35000	41219.8685804606
NA	35500	732.155379331614
NA	35977	490.18109296586
NA	36000	10079.5967657418
NA	37000	5554.76325531303
NA	37362	4742.83874414935
NA	38000	9912.00335718409
NA	39000	1284.70530851286
NA	39600	786.288056382605
NA	40000	86839.1118775303
NA	41000	4983.14288688295
NA	42000	4697.6634599749
NA	43000	4684.72807650743
NA	44000	3546.61511718177
NA	45000	21514.5491673925
NA	46000	2700.11505451012
NA	47000	3197.63902421066
NA	48000	2023.93698515586
NA	49765	3784.29666436373
NA	49962	1561.77646288441
NA	50000	141785.973320363
NA	51000	4840.88002902871
NA	52000	4303.47734639575
NA	53000	5764.27152427949
NA	54000	8957.25266062291
NA	54542	2530.07891970314
NA	54641	11755.7919150454
NA	55000	8194.65493824221
NA	55165	1838.65686512577
NA	55863	3382.24329164814
NA	56000	2303.51655017355
NA	56570	2615.56529991181
NA	57000	1368.21556158822
NA	58000	799.756115160102
NA	59000	752.653442233528
NA	60000	63939.9619146337
NA	62000	5427.10440158527
NA	64000	2624.24700507057
NA	65000	18485.7778145057
NA	66000	7820.65025188963
NA	67000	823.784443062218
NA	70000	77180.7930531675
NA	70811	1086.01294607257
